USER4EDEMAND,USER10EDEMAND,USER11EDEMAND,USER18EDEMAND,USER47EDEMAND,USER60EDEMAND,USER66EDEMAND,USER69EDEMAND,USER80EDEMAND,USER86EDEMAND
0.020173255,0.02145767,0.023264322,0.022313295,0.023319645,0.022608867,0.021448093,0.020229552,0.023887623,0.024878833
0.024205938,0.024299048,0.024615599,0.02346999,0.023036562,0.024458293,0.024045708,0.020195656,0.021956371,0.023609193
0.026022611,0.024780428,0.02609534,0.025166983,0.023590943,0.021973789,0.02683958,0.028127786,0.027254732,0.027375905
0.027786981,0.026292779,0.02572422,0.027582869,0.027045932,0.021963293,0.0116412155,0.0128724165,0.01565201,0.014141221
0.01573997,0.014613606,0.012853722,0.011615748,0.016635384,0.018165518,0.017131202,0.01727543,0.0177631,0.015978344
0.0152906515,0.01752127,0.016882155,0.011631084,0.01836778,0.020348225,0.02425024,0.02214592,0.024379924,0.022795763
0.020321913,0.018362127,0.025705338,0.027992448,0.02644338,0.026658624,0.027388245,0.024731832,0.023729775,0.02702608
0.026072297,0.01836552,0.01343351,0.013433511,0.015818715,0.018177845,0.01693295,0.01824839,0.017323729,0.015801111
0.013462627,0.018966865,0.020196216,0.019364985,0.019480836,0.019872691,0.0184396,0.017884566,0.019678347,0.019164983
0.013445081,0.018773634,0.020139052,0.022597905,0.021275727,0.02267712,0.021685699,0.020125143,0.018764302,0.023487434
0.02488853,0.023939187,0.024071004,0.024518061,0.022892142,0.02227611,0.02429611,0.023712002,0.018769907,0.022077981
0.022244215,0.02324311,0.022727275,0.023277044,0.022881597,0.022238813,0.022094384,0.02363187,0.024277575,0.023835676
0.02389594,0.024102962,0.023369838,0.023109829,0.023999674,0.023732655,0.022084493,0.02510789,0.025631636,0.025809469
0.025731426,0.025809867,0.025759844,0.025631705,0.025129817,0.025812678,0.025812387,0.025813276,0.025813324,0.025813071
0.025810838,0.025800567,0.02581306,0.025116624,0.018303376,0.01950337,0.021016497,0.020185728,0.021071652,0.02043894
0.019491373,0.01828857,0.021635104,0.022606147,0.021948641,0.022040049,0.022349788,0.021221299,0.020801809,0.022196062
0.021791017,0.018297479,0.01777705,0.017781243,0.017154984,0.017507054,0.017129332,0.017402142,0.017783117,0.017732259
0.016865972,0.016406082,0.016718347,0.016675154,0.016528277,0.01705962,0.017251369,0.016601276,0.016792662,0.01775921
0.02336108,0.022083817,0.01949548,0.020889355,0.019407809,0.020460209,0.02209929,0.02336567,0.018512359,0.016969554
0.018014176,0.017868944,0.017376842,0.01916996,0.019844305,0.01762107,0.01826462,0.02336289,0.015437725,0.015437724
0.01523207,0.0145586,0.0149600655,0.014532765,0.014835987,0.015233265,0.015453608,0.014271464,0.013832152,0.014128103
0.01408658,0.01394679,0.014462904,0.014660211,0.014015993,0.014199993,0.015444024,0.0150777865,0.015501307,0.016053611
0.015745457,0.016073626,0.015840322,0.01549467,0.015078399,0.016276663,0.016620636,0.016388537,0.016421005,0.01653054
0.016127802,0.015975138,0.01647627,0.016332392,0.015078032,0.018056141,0.016724953,0.016285177,0.01648566,0.016273329
0.016422376,0.016732026,0.0180418,0.016154591,0.015959498,0.016090304,0.016071796,0.01600986,0.016241387,0.016333373
0.01604045,0.016122466,0.018050417,0.019890469,0.020345163,0.020365458,0.020410966,0.020366883,0.020393997,0.02033645
0.019866869,0.020379469,0.020392645,0.020384908,0.020386279,0.02039022,0.020370577,0.020367011,0.020388402,0.020382313
0.019881077,0.016954927,0.018414602,0.019022658,0.018744327,0.019036714,0.018831821,0.018405313,0.016991861,0.019183252
0.019448075,0.01926708,0.019291822,0.019376675,0.019075112,0.018960785,0.019334368,0.019224735,0.01696961,0.018506136
