USER4EDEMAND;USER11EDEMAND
0.020173255;0.023264322
0.024205938;0.024615599
0.026022611;0.02609534
0.027786981;0.02572422
0.01573997;0.012853722
0.0152906515;0.016882155
0.020321913;0.025705338
0.026072297;0.01343351
0.013462627;0.020196216
0.013445081;0.020139052
0.02488853;0.024071004
0.022244215;0.022727275
0.02389594;0.023369838
0.025731426;0.025759844
0.025810838;0.02581306
0.019491373;0.021635104
0.021791017;0.01777705
0.016865972;0.016718347
0.02336108;0.01949548
0.018014176;0.017376842
0.01523207;0.0149600655
0.01408658;0.014462904
0.015745457;0.015840322
0.016127802;0.01647627
0.016422376;0.0180418
0.01604045;0.018050417
0.019866869;0.020392645
0.019881077;0.018414602
0.019448075;0.019291822
0.018506138;0.018345715
0.017978897;0.017818445
0.01861384;0.018640647
0.019265844;0.0185042
0.014442408;0.016279139
0.014731228;0.013691669
0.01893387;0.017895188
0.017827459;0.01797776
0.01723274;0.017137157
0.015225652;0.013926377
0.013709671;0.013617978
0.018631278;0.01860189
0.017895246;0.018755492
0.016908484;0.017114976
0.016936775;0.01682974
0.018859146;0.016212376
0.016022464;0.015696159
0.018151106;0.018322108
0.020846438;0.019758537
0.019217351;0.018988341
0.013275342;0.013188589
0.020173255;0.023264322
0.024205938;0.024615599
0.026022611;0.02609534
0.027786981;0.02572422
0.01573997;0.012853722
0.0152906515;0.016882155
0.020321913;0.025705338
0.026072297;0.01343351
0.013462627;0.020196216
0.013445081;0.020139052
0.02488853;0.024071004
0.022244215;0.022727275
0.02389594;0.023369838
0.025731426;0.025759844
0.025810838;0.02581306
0.019491373;0.021635104
0.021791017;0.01777705
0.016865972;0.016718347
0.02336108;0.01949548
0.018014176;0.017376842
0.01523207;0.0149600655
0.01408658;0.014462904
0.015745457;0.015840322
0.016127802;0.01647627
0.016422376;0.0180418
0.01604045;0.018050417
0.019866869;0.020392645
0.019881077;0.018414602
0.019448075;0.019291822
0.018506138;0.018345715
0.017978897;0.017818445
0.01861384;0.018640647
0.019265844;0.0185042
0.014442408;0.016279139
0.014731228;0.013691669
0.01893387;0.017895188
0.017827459;0.01797776
0.01723274;0.017137157
0.015225652;0.013926377
0.013709671;0.013617978
0.018631278;0.01860189
0.017895246;0.018755492
0.016908484;0.017114976
0.016936775;0.01682974
0.018859146;0.016212376
0.016022464;0.015696159
0.018151106;0.018322108
0.020846438;0.019758537
0.019217351;0.018988341
0.013275342;0.013188589
0.020173255;0.023264322
0.024205938;0.024615599
0.026022611;0.02609534
0.027786981;0.02572422
0.01573997;0.012853722
0.0152906515;0.016882155
0.020321913;0.025705338
0.026072297;0.01343351
0.013462627;0.020196216
0.013445081;0.020139052
0.02488853;0.024071004
0.022244215;0.022727275
0.02389594;0.023369838
0.025731426;0.025759844
0.025810838;0.02581306
0.019491373;0.021635104
0.021791017;0.01777705
0.016865972;0.016718347
0.02336108;0.01949548
0.018014176;0.017376842
0.01523207;0.0149600655
0.01408658;0.014462904
0.015745457;0.015840322
0.016127802;0.01647627
0.016422376;0.0180418
0.01604045;0.018050417
0.019866869;0.020392645
0.019881077;0.018414602
0.019448075;0.019291822
0.018506138;0.018345715
0.017978897;0.017818445
0.01861384;0.018640647
0.019265844;0.0185042
0.014442408;0.016279139
0.014731228;0.013691669
0.01893387;0.017895188
0.017827459;0.01797776
0.01723274;0.017137157
0.015225652;0.013926377
0.013709671;0.013617978
0.018631278;0.01860189
0.017895246;0.018755492
0.016908484;0.017114976
0.016936775;0.01682974
0.018859146;0.016212376
0.016022464;0.015696159
0.018151106;0.018322108
0.020846438;0.019758537
0.019217351;0.018988341
0.013275342;0.013188589
