LINE1;LINE2
-6.1941;-6.1940
-5.7854;-5.7854
-4.4466;-4.4466
-4.1297;-4.1297
-4.0306;-4.0306
-4.7658;-4.7658
-3.8579;-3.8579
-4.2829;-4.2829
-4.3794;-4.3794
-3.2364;-3.2364
-3.2677;-3.2677
-3.4076;-3.4076
-3.6560;-3.6560
-3.5787;-3.5787
-3.4687;-3.4687
-3.5908;-3.5908
-4.3542;-4.3542
-3.6272;-3.6272
-3.4750;-3.4750
-3.1994;-3.1994
-3.3407;-3.3407
-3.8371;-3.8371
-3.8197;-3.8197
-3.5581;-3.5581
-3.8670;-3.8670
-4.0956;-4.0955
-4.3990;-4.3989
-4.4488;-4.4488
-5.7520;-5.7520
-6.4583;-6.4583
-6.8008;-6.8008
-6.5156;-6.5156
-7.8744;-7.8744
-7.6414;-7.6413
-8.3432;-8.3431
-8.9077;-8.9076
-10.4172;-10.4172
-8.1394;-8.1394
-7.9306;-7.9305
-7.2110;-7.2110
-6.8154;-6.8154
-6.1831;-6.1830
-5.3553;-5.3553
-7.5180;-7.5180
-7.6912;-7.6911
-8.1612;-8.1611
-9.6294;-9.6293
-9.2462;-9.2461
-9.1358;-9.1357
-9.3497;-9.3496
-10.3693;-10.3693
-11.5814;-11.5813
-12.4096;-12.4095
-11.3797;-11.3796
-10.6527;-10.6526
-7.4860;-7.4860
-6.1556;-6.1556
-7.4207;-7.4207
-10.0120;-10.0119
-7.7830;-7.7829
-7.0592;-7.0591
-7.5742;-7.5742
-8.7724;-8.7724
-9.8266;-9.8266
-9.3260;-9.3260
-7.7143;-7.7143
-10.2796;-10.2796
-10.1601;-10.1600
-12.6279;-12.6278
-12.0516;-12.0516
-10.9321;-10.9320
-12.9452;-12.9451
-15.2192;-15.2191
-15.8264;-15.8263
-17.6874;-17.6873
-14.9336;-14.9335
-14.5811;-14.5810
-14.5693;-14.5692
-14.6139;-14.6138
-14.1161;-14.1160
-13.7710;-13.7709
-12.9163;-12.9162
-13.2315;-13.2314
-12.4499;-12.4498
-11.8237;-11.8236
-9.9354;-9.9353
-9.5807;-9.5807
-10.4899;-10.4898
-9.4509;-9.4508
-9.8989;-9.8988
-10.0104;-10.0103
-9.7013;-9.7012
-8.4169;-8.4169
-8.8207;-8.8207
-8.9713;-8.9713
-8.0581;-8.0580
