kW_SE;kvar_SE
18.917;6.213
17.699;5.805
13.555;4.457
12.588;4.138
12.285;4.039
14.537;4.778
11.756;3.866
13.064;4.293
13.362;4.390
9.862;3.242
9.956;3.274
10.391;3.415
11.142;3.663
10.910;3.586
10.572;3.475
10.947;3.598
13.283;4.364
11.056;3.634
10.589;3.481
9.748;3.205
10.181;3.347
11.709;3.846
11.643;3.827
10.843;3.565
11.786;3.875
12.484;4.104
13.411;4.409
13.561;4.459
17.540;5.769
19.709;6.479
20.767;6.825
19.883;6.537
24.048;7.906
23.334;7.672
25.478;8.377
27.227;8.948
31.856;10.471
24.859;8.173
24.214;7.961
22.013;7.237
20.801;6.838
18.870;6.203
16.333;5.370
22.942;7.546
23.487;7.722
24.949;8.198
29.473;9.683
28.246;9.290
27.911;9.178
28.570;9.394
31.701;10.423
35.500;11.659
38.008;12.488
34.896;11.451
32.617;10.711
22.880;7.516
18.791;6.175
22.684;7.449
30.615;10.061
23.759;7.815
21.559;7.088
23.147;7.605
26.849;8.814
30.094;9.879
28.534;9.370
23.569;7.746
31.454;10.337
31.058;10.212
38.648;12.707
36.942;12.129
33.445;10.991
39.661;13.034
46.701;15.342
48.495;15.953
54.204;17.839
45.786;15.049
44.692;14.689
44.708;14.684
44.870;14.731
43.314;14.223
42.228;13.868
39.655;13.005
40.507;13.324
38.093;12.531
36.152;11.896
30.366;9.987
29.295;9.628
32.140;10.549
28.905;9.497
30.262;9.947
30.603;10.060
29.643;9.747
25.700;8.451
26.959;8.859
27.423;9.011
24.619;8.090
