Input_kW;Input_kvar;Output_kW;Output_kvar
18.9175;6.2134;-18.9147;-6.1942
17.6995;5.8048;-17.6967;-5.7856
13.5555;4.4567;-13.5541;-4.4467
12.5879;4.1385;-12.5867;-4.1298
12.2852;4.0391;-12.2840;-4.0307
14.5370;4.7782;-14.5353;-4.7660
11.7559;3.8661;-11.7548;-3.8580
13.0642;4.2933;-13.0628;-4.2830
13.3619;4.3903;-13.3604;-4.3795
9.8617;3.2423;-9.8609;-3.2365
9.9558;3.2736;-9.9550;-3.2677
10.3913;3.4147;-10.3904;-3.4077
11.1417;3.6631;-11.1407;-3.6561
10.9105;3.5857;-10.9095;-3.5788
10.5722;3.4753;-10.5713;-3.4688
10.9468;3.5980;-10.9458;-3.5908
13.2835;4.3645;-13.2820;-4.3543
11.0556;3.6344;-11.0547;-3.6273
10.5887;3.4815;-10.5878;-3.4751
9.7477;3.2050;-9.7470;-3.1994
7.7801;5.2350;-7.7794;-5.2295
9.2890;4.8401;-9.2882;-4.8340
9.2363;5.3842;-9.2354;-5.3777
8.4405;5.3109;-8.4397;-5.3048
7.9597;7.1543;-7.9585;-7.1461
8.6562;7.2391;-8.6550;-7.2305
9.5809;7.6209;-9.5795;-7.6108
9.7381;7.7472;-9.7367;-7.7370
11.8284;11.1640;-11.8256;-11.1450
13.9586;10.6733;-13.9559;-10.6544
14.9780;9.8674;-14.9755;-9.8500
14.1218;10.6396;-14.1192;-10.6213
18.2625;11.4959;-18.2587;-11.4693
17.5846;12.5832;-17.5803;-12.5539
16.9244;15.8312;-16.9189;-15.7935
18.5681;14.5744;-18.5631;-14.5402
23.2093;16.4831;-23.2023;-16.4362
16.3038;15.6581;-16.2979;-15.6184
15.6655;15.4151;-15.6606;-15.3815
13.4917;14.6924;-13.4875;-14.6636
12.2701;14.3064;-12.2661;-14.2793
10.3083;13.6692;-10.3046;-13.6441
5.4853;12.9251;-5.4814;-12.8983
12.1695;15.1020;-12.1639;-15.0637
13.3889;15.2917;-13.3828;-15.2500
12.6812;15.7843;-12.6739;-15.7351
16.5388;17.2545;-16.5292;-17.1901
16.1607;16.8736;-16.1527;-16.8196
15.2538;16.7633;-15.2462;-16.7114
15.2108;16.9649;-15.2031;-16.9130
18.1883;17.9688;-18.1799;-17.9118
22.6115;19.2260;-22.5988;-19.1407
23.9583;20.0129;-23.9467;-19.9344
23.3394;18.8844;-23.3295;-18.8180
21.1223;18.1683;-21.1138;-18.1111
11.4119;15.0253;-11.4065;-14.9885
10.2373;13.6638;-10.2334;-13.6368
14.2586;14.9677;-14.2534;-14.9324
22.1083;17.4184;-22.1012;-17.3707
15.1920;15.2350;-15.1869;-15.2000
12.9678;14.4879;-12.9631;-14.4558
14.5095;13.8021;-14.5056;-13.7750
18.1854;15.1182;-18.1797;-15.0794
21.3369;13.2880;-21.3315;-13.2511
22.7234;12.4640;-22.7181;-12.4275
17.8414;13.4813;-17.8365;-13.4474
25.6607;13.8565;-25.6532;-13.8053
25.2520;13.1893;-25.2456;-13.1460
32.7722;13.2697;-32.7633;-13.2096
31.0706;13.7476;-31.0614;-13.6859
29.5348;11.7811;-29.5278;-11.7333
35.7310;13.3147;-35.7198;-13.2393
42.7029;15.3028;-42.6875;-15.1998
44.5265;15.9168;-44.5105;-15.8095
51.7487;17.9637;-51.7277;-17.8230
43.3076;15.0282;-43.2921;-14.9240
42.2080;14.6658;-42.1939;-14.5709
42.2015;14.6577;-42.1865;-14.5569
44.8702;14.7305;-44.8529;-14.6150
43.3144;14.2234;-43.2986;-14.1171
42.2281;13.8683;-42.2137;-13.7719
39.6550;13.0054;-39.6418;-12.9171
40.5073;13.3242;-40.4936;-13.2323
38.0929;12.5308;-38.0810;-12.4506
36.1522;11.8963;-36.1415;-11.8243
30.3660;9.9868;-30.3585;-9.9358
29.2948;9.6280;-29.2879;-9.5811
32.1402;10.5495;-32.1315;-10.4904
28.9050;9.4969;-28.8983;-9.4513
30.2623;9.9469;-30.2553;-9.8993
30.6033;10.0599;-30.5960;-10.0108
29.6429;9.7470;-29.6362;-9.7017
25.6997;8.4512;-25.6947;-8.4172
26.9592;8.8591;-26.9536;-8.8210
27.4233;9.0109;-27.4175;-8.9717
24.6194;8.0901;-24.6148;-8.0583
