LINE1;LINE2
-18.9136;-18.9135
-17.6955;-17.6954
-13.5535;-13.5535
-12.5863;-12.5862
-12.2836;-12.2836
-14.5346;-14.5345
-11.7544;-11.7543
-13.0622;-13.0621
-13.3598;-13.3597
-9.8606;-9.8606
-9.9547;-9.9547
-10.3900;-10.3899
-11.1404;-11.1403
-10.9092;-10.9091
-10.5710;-10.5709
-10.9454;-10.9454
-13.2815;-13.2814
-11.0543;-11.0543
-10.5875;-10.5875
-9.7467;-9.7467
-7.7791;-7.7791
-9.2879;-9.2878
-9.2351;-9.2350
-8.4394;-8.4393
-7.9580;-7.9580
-8.6545;-8.6544
-9.5788;-9.5788
-9.7360;-9.7359
-11.8243;-11.8242
-13.9547;-13.9545
-14.9744;-14.9743
-14.1180;-14.1179
-18.2572;-18.2570
-17.5786;-17.5784
-16.9162;-16.9159
-18.5610;-18.5608
-23.1994;-23.1991
-16.2949;-16.2946
-15.6581;-15.6579
-13.4851;-13.4849
-12.2639;-12.2637
-10.3029;-10.3027
-5.4791;-5.4789
-12.1606;-12.1602
-13.3788;-13.3784
-12.6699;-12.6695
-16.5243;-16.5238
-16.1481;-16.1476
-15.2419;-15.2414
-15.1990;-15.1986
-18.1755;-18.1750
-22.5924;-22.5917
-23.9409;-23.9402
-23.3254;-23.3250
-21.1100;-21.1096
-11.4037;-11.4034
-10.2313;-10.2310
-14.2501;-14.2498
-22.0976;-22.0973
-15.1847;-15.1844
-12.9612;-12.9610
-14.5039;-14.5037
-18.1774;-18.1772
-21.3294;-21.3292
-22.7160;-22.7157
-17.8343;-17.8341
-25.6501;-25.6497
-25.2431;-25.2429
-32.7599;-32.7596
-31.0578;-31.0574
-29.5251;-29.5248
-35.7151;-35.7146
-42.6813;-42.6807
-44.5043;-44.5036
-51.7196;-51.7187
-43.2858;-43.2851
-42.1883;-42.1878
-42.1803;-42.1796
-44.8455;-44.8448
-43.2919;-43.2912
-42.2079;-42.2073
-39.6363;-39.6357
-40.4879;-40.4873
-38.0761;-38.0756
-36.1371;-36.1366
-30.3554;-30.3551
-29.2851;-29.2848
-32.1277;-32.1274
-28.8956;-28.8953
-30.2526;-30.2523
-30.5932;-30.5929
-29.6336;-29.6333
-25.6929;-25.6927
-26.9515;-26.9512
-27.4153;-27.4150
-24.6130;-24.6128
