Input_kW;Input_kvar;Output_kW;Output_kvar
18.9175;6.2134;-18.9147;-6.1942
17.6995;5.8048;-17.6967;-5.7856
13.5555;4.4567;-13.5541;-4.4467
12.5879;4.1385;-12.5867;-4.1298
12.2852;4.0391;-12.2840;-4.0307
14.5370;4.7782;-14.5353;-4.7660
11.7559;3.8661;-11.7548;-3.8580
13.0642;4.2933;-13.0628;-4.2830
13.3619;4.3903;-13.3604;-4.3795
9.8617;3.2423;-9.8609;-3.2365
9.9558;3.2736;-9.9550;-3.2677
10.3913;3.4147;-10.3904;-3.4077
11.1417;3.6631;-11.1407;-3.6561
10.9105;3.5857;-10.9095;-3.5788
10.5722;3.4753;-10.5713;-3.4688
10.9468;3.5980;-10.9458;-3.5908
13.2835;4.3645;-13.2820;-4.3543
11.0556;3.6344;-11.0547;-3.6273
10.5887;3.4815;-10.5878;-3.4751
9.7477;3.2050;-9.7470;-3.1994
10.1807;3.3468;-10.1799;-3.3408
11.7089;3.8458;-11.7077;-3.8372
11.6434;3.8275;-11.6423;-3.8198
10.8434;3.5650;-10.8425;-3.5582
11.7859;3.8749;-11.7848;-3.8671
12.4835;4.1042;-12.4824;-4.0956
13.4111;4.4090;-13.4098;-4.3990
13.5613;4.4589;-13.5599;-4.4489
17.5400;5.7687;-17.5377;-5.7522
19.7094;6.4789;-19.7064;-6.4585
20.7667;6.8246;-20.7633;-6.8010
19.8834;6.5372;-19.8803;-6.5158
24.0479;7.9065;-24.0433;-7.8747
23.3336;7.6716;-23.3293;-7.6416
25.4775;8.3773;-25.4726;-8.3435
27.2268;8.9482;-27.2209;-8.9080
31.8558;10.4708;-31.8480;-10.4177
24.8592;8.1725;-24.8544;-8.1397
24.2139;7.9613;-24.2094;-7.9308
22.0135;7.2367;-22.0098;-7.2112
20.8012;6.8383;-20.7979;-6.8156
18.8703;6.2028;-18.8674;-6.1832
16.3329;5.3702;-16.3308;-5.3555
22.9424;7.5463;-22.9384;-7.5182
23.4870;7.7218;-23.4825;-7.6914
24.9488;8.1978;-24.9435;-8.1615
29.4729;9.6835;-29.4649;-9.6298
28.2459;9.2897;-28.2396;-9.2465
27.9114;9.1781;-27.9052;-9.1361
28.5699;9.3941;-28.5634;-9.3501
31.7005;10.4228;-31.6927;-10.3698
35.5003;11.6594;-35.4888;-11.5821
38.0077;12.4875;-37.9963;-12.4103
34.8962;11.4509;-34.8858;-11.3803
32.6167;10.7108;-32.6082;-10.6532
22.8801;7.5156;-22.8758;-7.4862
18.7908;6.1747;-18.7880;-6.1558
22.6844;7.4486;-22.6804;-7.4209
30.6150;10.0606;-30.6079;-10.0124
23.7593;7.8148;-23.7547;-7.7832
21.5593;7.0876;-21.5551;-7.0594
23.1469;7.6052;-23.1424;-7.5745
26.8489;8.8145;-26.8427;-8.7728
30.0944;9.8785;-30.0868;-9.8271
28.5339;9.3702;-28.5275;-9.3264
23.5691;7.7462;-23.5645;-7.7146
31.4544;10.3374;-31.4460;-10.2802
31.0575;10.2124;-31.0499;-10.1605
38.6482;12.7070;-38.6365;-12.6286
36.9421;12.1288;-36.9307;-12.0523
33.4446;10.9906;-33.4360;-10.9326
39.6609;13.0336;-39.6479;-12.9460
46.7008;15.3424;-46.6826;-15.2203
48.4946;15.9532;-48.4759;-15.8276
54.2037;17.8391;-54.1813;-17.6888
45.7857;15.0492;-45.7686;-14.9347
44.6915;14.6886;-44.6756;-14.5820
44.7082;14.6841;-44.6912;-14.5703
44.8702;14.7305;-44.8529;-14.6150
43.3144;14.2234;-43.2986;-14.1171
42.2281;13.8683;-42.2137;-13.7719
39.6550;13.0054;-39.6418;-12.9171
40.5073;13.3242;-40.4936;-13.2323
38.0929;12.5308;-38.0810;-12.4506
36.1522;11.8963;-36.1415;-11.8243
30.3660;9.9868;-30.3585;-9.9358
29.2948;9.6280;-29.2879;-9.5811
32.1402;10.5495;-32.1315;-10.4904
28.9050;9.4969;-28.8983;-9.4513
30.2623;9.9469;-30.2553;-9.8993
30.6033;10.0599;-30.5960;-10.0108
29.6429;9.7470;-29.6362;-9.7017
25.6997;8.4512;-25.6947;-8.4172
26.9592;8.8591;-26.9536;-8.8210
27.4233;9.0109;-27.4175;-8.9717
24.6194;8.0901;-24.6148;-8.0583
