LINE1;LINE2
-18.9136;-18.9135
-17.6955;-17.6954
-13.5535;-13.5535
-12.5863;-12.5862
-12.2836;-12.2836
-14.5346;-14.5345
-11.7544;-11.7543
-13.0622;-13.0621
-13.3598;-13.3597
-9.8606;-9.8606
-9.9547;-9.9547
-10.3900;-10.3899
-11.1404;-11.1403
-10.9092;-10.9091
-10.5710;-10.5709
-10.9454;-10.9454
-13.2815;-13.2814
-11.0543;-11.0543
-10.5875;-10.5875
-9.7467;-9.7467
-10.1796;-10.1796
-11.7072;-11.7072
-11.6419;-11.6419
-10.8421;-10.8421
-11.7844;-11.7844
-12.4819;-12.4819
-13.4092;-13.4092
-13.5594;-13.5593
-17.5367;-17.5366
-19.7053;-19.7052
-20.7619;-20.7618
-19.8791;-19.8790
-24.0414;-24.0412
-23.3275;-23.3273
-25.4707;-25.4705
-27.2185;-27.2183
-31.8450;-31.8446
-24.8525;-24.8523
-24.2077;-24.2076
-22.0084;-22.0082
-20.7966;-20.7965
-18.8663;-18.8662
-16.3299;-16.3299
-22.9367;-22.9366
-23.4807;-23.4805
-24.9412;-24.9409
-29.4613;-29.4610
-28.2370;-28.2367
-27.9028;-27.9025
-28.5608;-28.5605
-31.6896;-31.6893
-35.4836;-35.4831
-37.9917;-37.9912
-34.8813;-34.8808
-32.6048;-32.6044
-22.8740;-22.8738
-18.7870;-18.7869
-22.6788;-22.6786
-30.6052;-30.6049
-23.7528;-23.7526
-21.5533;-21.5531
-23.1405;-23.1403
-26.8401;-26.8398
-30.0836;-30.0832
-28.5249;-28.5246
-23.5626;-23.5624
-31.4423;-31.4419
-31.0468;-31.0465
-38.6319;-38.6315
-36.9260;-36.9255
-33.4327;-33.4324
-39.6424;-39.6419
-46.6749;-46.6741
-48.4683;-48.4676
-54.1727;-54.1718
-45.7616;-45.7609
-44.6693;-44.6686
-44.6840;-44.6832
-44.8455;-44.8448
-43.2919;-43.2912
-42.2079;-42.2073
-39.6363;-39.6357
-40.4879;-40.4873
-38.0761;-38.0756
-36.1371;-36.1366
-30.3554;-30.3551
-29.2851;-29.2848
-32.1277;-32.1274
-28.8956;-28.8953
-30.2526;-30.2523
-30.5932;-30.5929
-29.6336;-29.6333
-25.6929;-25.6927
-26.9515;-26.9512
-27.4153;-27.4150
-24.6130;-24.6128
