kW_SE;kvar_SE
18.917;6.213
17.699;5.805
13.555;4.457
12.588;4.138
12.285;4.039
14.537;4.778
11.756;3.866
13.064;4.293
13.362;4.390
9.862;3.242
9.956;3.274
10.391;3.415
11.142;3.663
10.910;3.586
10.572;3.475
10.947;3.598
13.283;4.364
11.056;3.634
10.589;3.481
9.748;3.205
7.780;5.235
9.289;4.840
9.236;5.384
8.440;5.311
7.960;7.154
8.656;7.239
9.581;7.621
9.738;7.747
11.828;11.164
13.959;10.673
14.978;9.867
14.122;10.640
18.263;11.496
17.585;12.583
16.924;15.831
18.568;14.574
23.209;16.483
16.304;15.658
15.665;15.415
13.492;14.692
12.270;14.306
10.308;13.669
5.485;12.925
12.170;15.102
13.389;15.292
12.681;15.784
16.539;17.255
16.161;16.874
15.254;16.763
15.211;16.965
18.188;17.969
22.611;19.226
23.958;20.013
23.339;18.884
21.122;18.168
11.412;15.025
10.237;13.664
14.259;14.968
22.108;17.418
15.192;15.235
12.968;14.488
14.510;13.802
18.185;15.118
21.337;13.288
22.723;12.464
17.841;13.481
25.661;13.856
25.252;13.189
32.772;13.270
31.071;13.748
29.535;11.781
35.731;13.315
42.703;15.303
44.526;15.917
51.749;17.964
43.308;15.028
42.208;14.666
42.202;14.658
44.870;14.731
43.314;14.223
42.228;13.868
39.655;13.005
40.507;13.324
38.093;12.531
36.152;11.896
30.366;9.987
29.295;9.628
32.140;10.549
28.905;9.497
30.262;9.947
30.603;10.060
29.643;9.747
25.700;8.451
26.959;8.859
27.423;9.011
24.619;8.090
